Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83556,-,-,-,34.05,-118.26,-8,98,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,0,0,0,-5,168.95000000000002,0.128,4.0,0.47200000000000003,55.7,49.0,5,990.0
2016,1,1,0,30,0,0,0,0,-5,166.74,0.128,4.0,0.47700000000000004,55.7,49.0,5,990.0
2016,1,1,1,0,0,0,0,0,-5,162.23,0.128,4.1000000000000005,0.482,55.7,48.97,5,990.0
2016,1,1,1,30,0,0,0,0,-5,156.74,0.128,4.1000000000000005,0.489,55.7,48.97,5,990.0
2016,1,1,2,0,0,0,0,0,-5,150.83,0.128,4.2,0.496,56.0,48.980000000000004,5,990.0
2016,1,1,2,30,0,0,0,0,-5,144.73,0.128,4.2,0.503,56.0,48.97,5,990.0
2016,1,1,3,0,0,0,0,0,-5,138.55,0.128,4.3,0.511,55.900000000000006,49.29,5,990.0
2016,1,1,3,30,0,0,0,0,-5,132.33,0.128,4.4,0.52,55.900000000000006,49.29,5,990.0
2016,1,1,4,0,0,0,0,1,-5,126.13000000000001,0.128,4.5,0.529,54.7,49.52,5,990.0
2016,1,1,4,30,0,0,0,0,-5,119.97,0.128,4.6000000000000005,0.541,54.7,49.52,5,990.0
2016,1,1,5,0,0,0,0,1,-5,113.87,0.128,4.7,0.554,54.1,49.75,5,990.0
2016,1,1,5,30,0,0,0,1,-5,107.85000000000001,0.128,4.7,0.5690000000000001,54.1,49.75,5,990.0
2016,1,1,6,0,0,0,0,1,-5,101.94,0.128,4.800000000000001,0.584,54.300000000000004,50.370000000000005,5,990.0
2016,1,1,6,30,0,0,0,1,-5,96.17,0.128,5.0,0.598,54.300000000000004,50.38,5,990.0
2016,1,1,7,0,0,0,0,1,-5,90.56,0.128,5.2,0.612,54.2,47.660000000000004,6,990.0
2016,1,1,7,30,26,427,61,1,-5,85.18,0.128,5.5,0.625,54.2,44.480000000000004,7,990.0
2016,1,1,8,0,41,626,149,1,-5,80.05,0.128,5.800000000000001,0.639,55.1,42.07,8,990.0
2016,1,1,8,30,51,740,239,0,-5,75.24,0.128,5.6000000000000005,0.658,55.1,39.31,9,990.0
2016,1,1,9,0,58,811,325,0,-5,70.8,0.128,5.5,0.677,62.1,33.51,11,990.0
2016,1,1,9,30,64,860,402,0,-5,66.83,0.128,4.800000000000001,0.7000000000000001,62.1,31.35,12,990.0
2016,1,1,10,0,65,900,468,0,-6,63.410000000000004,0.128,4.1000000000000005,0.723,73.2,27.64,13,990.0
2016,1,1,10,30,68,922,521,0,-6,60.64,0.128,3.4000000000000004,0.743,73.2,25.88,14,990.0
2016,1,1,11,0,71,934,558,0,-6,58.6,0.128,2.7,0.763,87.9,23.580000000000002,15,990.0
2016,1,1,11,30,72,942,580,0,-6,57.39,0.128,2.1,0.777,87.9,23.57,15,990.0
2016,1,1,12,0,73,942,585,0,-6,57.050000000000004,0.128,1.6,0.791,105.0,22.07,16,990.0
2016,1,1,12,30,72,938,575,1,-6,57.59,0.128,1.2000000000000002,0.799,105.0,22.06,16,990.0
2016,1,1,13,0,73,924,548,1,-6,59.0,0.128,0.8,0.807,122.4,22.18,16,990.0
2016,1,1,13,30,70,906,507,1,-6,61.21,0.128,0.5,0.809,122.4,22.18,16,990.0
2016,1,1,14,0,69,875,450,1,-6,64.14,0.128,0.2,0.812,165.20000000000002,22.78,16,990.0
2016,1,1,14,30,64,837,382,0,-6,67.69,0.128,0.30000000000000004,0.808,165.20000000000002,24.3,15,990.0
2016,1,1,15,0,59,777,302,0,-4,71.78,0.128,0.4,0.805,255.3,27.52,15,990.0
2016,1,1,15,30,51,694,215,1,-4,76.3,0.128,0.5,0.797,255.3,29.37,14,990.0
2016,1,1,16,0,39,560,125,1,-1,81.2,0.128,0.6000000000000001,0.789,304.40000000000003,38.34,13,990.0
2016,1,1,16,30,21,331,42,1,-1,86.39,0.128,0.7000000000000001,0.778,304.40000000000003,43.78,11,990.0
2016,1,1,17,0,0,0,0,8,-2,91.83,0.128,0.9,0.767,334.90000000000003,44.62,10,990.0
2016,1,1,17,30,0,0,0,4,-2,97.47,0.128,1.1,0.755,334.90000000000003,47.75,9,990.0
2016,1,1,18,0,0,0,0,4,-2,103.28,0.128,1.4000000000000001,0.743,5.0,47.02,9,990.0
2016,1,1,18,30,0,0,0,8,-2,109.21000000000001,0.128,1.6,0.738,5.0,50.34,8,990.0
