Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83556,-,-,-,34.05,-118.26,-8,98,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,1,0,0,0,0,0,0,-6,168.93,0.128,2.0,0.384,18.8,55.19,3,980.0
2015,1,1,0,30,0,0,0,0,-6,166.73,0.128,2.0,0.374,18.8,55.19,2,980.0
2015,1,1,1,0,0,0,0,0,-6,162.24,0.128,2.0,0.365,23.0,54.18,2,980.0
2015,1,1,1,30,0,0,0,0,-6,156.75,0.128,1.9000000000000001,0.361,23.0,58.2,2,980.0
2015,1,1,2,0,0,0,0,0,-6,150.84,0.128,1.9000000000000001,0.357,24.5,56.88,2,980.0
2015,1,1,2,30,0,0,0,0,-6,144.74,0.128,1.8,0.356,24.5,56.89,2,980.0
2015,1,1,3,0,0,0,0,0,-6,138.56,0.128,1.7000000000000002,0.356,25.8,55.53,2,980.0
2015,1,1,3,30,0,0,0,0,-6,132.35,0.128,1.6,0.356,25.8,55.54,2,980.0
2015,1,1,4,0,0,0,0,0,-7,126.15,0.128,1.6,0.357,28.8,50.03,3,980.0
2015,1,1,4,30,0,0,0,0,-7,119.98,0.128,1.5,0.357,28.8,50.050000000000004,3,980.0
2015,1,1,5,0,0,0,0,0,-7,113.88,0.128,1.5,0.357,36.6,48.08,3,980.0
2015,1,1,5,30,0,0,0,0,-7,107.86,0.128,1.4000000000000001,0.358,36.6,48.1,3,980.0
2015,1,1,6,0,0,0,0,0,-8,101.95,0.128,1.4000000000000001,0.359,49.300000000000004,45.49,3,990.0
2015,1,1,6,30,0,0,0,0,-8,96.18,0.128,1.3,0.362,49.300000000000004,45.51,3,990.0
2015,1,1,7,0,0,0,0,1,-7,90.57000000000001,0.128,1.3,0.365,64.60000000000001,46.9,4,990.0
2015,1,1,7,30,25,464,64,1,-7,85.19,0.128,1.6,0.367,64.60000000000001,43.72,5,990.0
2015,1,1,8,0,40,659,154,0,-6,80.06,0.128,2.0,0.369,75.9,41.56,7,990.0
2015,1,1,8,30,50,772,246,0,-6,75.24,0.128,2.1,0.373,75.9,38.81,8,990.0
2015,1,1,9,0,57,842,334,0,-8,70.8,0.128,2.3000000000000003,0.378,82.5,31.13,9,990.0
2015,1,1,9,30,62,890,413,0,-8,66.83,0.128,2.1,0.384,82.5,29.09,10,990.0
2015,1,1,10,0,68,918,479,0,-9,63.410000000000004,0.128,2.0,0.39,91.10000000000001,24.78,11,990.0
2015,1,1,10,30,71,941,532,0,-9,60.63,0.128,1.7000000000000002,0.397,91.10000000000001,24.77,11,990.0
2015,1,1,11,0,73,953,570,0,-9,58.59,0.128,1.4000000000000001,0.404,96.9,22.79,12,990.0
2015,1,1,11,30,75,961,593,0,-9,57.370000000000005,0.128,1.1,0.41000000000000003,96.9,22.79,12,990.0
2015,1,1,12,0,76,961,599,0,-9,57.03,0.128,0.8,0.417,112.7,21.62,13,990.0
2015,1,1,12,30,75,956,588,0,-9,57.57,0.128,0.6000000000000001,0.425,112.7,21.61,13,990.0
2015,1,1,13,0,75,941,561,0,-8,58.97,0.128,0.4,0.433,177.10000000000002,22.7,13,980.0
2015,1,1,13,30,73,923,518,0,-8,61.18,0.128,0.5,0.441,177.10000000000002,22.7,13,980.0
2015,1,1,14,0,70,895,461,0,-7,64.11,0.128,0.6000000000000001,0.449,231.0,24.6,13,980.0
2015,1,1,14,30,66,856,391,0,-7,67.66,0.128,0.7000000000000001,0.455,231.0,26.27,12,990.0
2015,1,1,15,0,60,799,310,0,-5,71.75,0.128,0.9,0.462,245.60000000000002,32.09,12,990.0
2015,1,1,15,30,52,715,221,0,-5,76.27,0.128,0.9,0.464,245.60000000000002,34.300000000000004,11,990.0
2015,1,1,16,0,40,583,129,0,-2,81.16,0.128,1.0,0.467,254.5,43.11,10,990.0
2015,1,1,16,30,22,350,44,0,-2,86.36,0.128,0.9,0.46900000000000003,254.5,46.13,9,990.0
2015,1,1,17,0,0,0,0,0,-3,91.8,0.128,0.9,0.47200000000000003,268.1,45.31,9,990.0
2015,1,1,17,30,0,0,0,0,-3,97.44,0.128,0.8,0.47300000000000003,268.1,48.51,8,990.0
2015,1,1,18,0,0,0,0,0,-2,103.24000000000001,0.128,0.7000000000000001,0.47400000000000003,294.90000000000003,49.18,8,990.0
2015,1,1,18,30,0,0,0,0,-2,109.18,0.128,0.7000000000000001,0.47100000000000003,294.90000000000003,52.68,7,990.0
2015,1,1,19,0,0,0,0,0,-3,115.22,0.128,0.7000000000000001,0.46900000000000003,327.8,52.06,7,990.0
2015,1,1,19,30,0,0,0,0,-3,121.34,0.128,0.6000000000000001,0.466,327.8,52.06,7,990.0
2015,1,1,20,0,0,0,0,0,-3,127.51,0.128,0.6000000000000001,0.464,355.20000000000005,50.88,7,990.0
2015,1,1,20,30,0,0,0,0,-3,133.72,0.128,0.6000000000000001,0.466,355.20000000000005,54.53,6,990.0
2015,1,1,21,0,0,0,0,0,-3,139.92000000000002,0.128,0.7000000000000001,0.468,15.3,52.300000000000004,6,990.0
2015,1,1,21,30,0,0,0,0,-3,146.09,0.128,0.7000000000000001,0.47300000000000003,15.3,52.300000000000004,6,990.0
2015,1,1,22,0,0,0,0,0,-4,152.15,0.128,0.8,0.47800000000000004,23.200000000000003,50.72,6,990.0
2015,1,1,22,30,0,0,0,0,-4,157.99,0.128,0.9,0.48,23.200000000000003,50.72,6,990.0
2015,1,1,23,0,0,0,0,0,-4,163.31,0.128,1.0,0.483,30.400000000000002,49.31,6,990.0
2015,1,1,23,30,0,0,0,0,-4,167.42000000000002,0.128,1.0,0.484,30.400000000000002,52.870000000000005,5,990.0
2015,1,2,0,0,0,0,0,0,-5,168.86,0.128,1.1,0.485,37.300000000000004,51.51,5,990.0
